,days_until_funded,funded_amount,terms_disbursal_amount,loan_amount,repayment_term,contains_old,contains_improve,contains_help,contains_buy,contains_loan,negative_sentiment,positive_sentiment,overall_positive,description_length,is_female,is_bulgaria,is_iraq,is_zambia,is_thailand,is_health,is_ed,is_arts,is_agriculture,is_food,is_housing,african,asian,north_american,south_american,european,paid,refunded,defaulted,in_repayment
0,2,600,600.0,600,15,1,0,1,1,0,2,5,1,90,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
1,5,450,450.0,450,9,1,0,1,0,1,4,6,1,303,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2,1,450,450.0,450,13,1,0,0,0,1,2,3,1,289,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
3,1,400,400.0,400,15,0,1,0,1,1,6,3,0,350,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
4,4,750,750.0,750,15,0,0,0,0,1,3,4,1,170,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
5,3,450,450.0,450,13,0,1,0,0,1,5,4,0,271,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
6,1,450,450.0,450,15,1,0,1,1,1,4,5,1,347,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
7,3,275,275.0,275,15,1,0,0,0,1,4,5,1,303,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
8,1,275,275.0,275,15,1,1,0,1,1,7,6,0,300,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
9,1,275,275.0,275,15,0,0,1,1,1,6,3,0,310,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
10,4,450,450.0,450,15,0,0,1,1,1,5,5,0,320,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
11,1,275,275.0,275,13,1,0,1,0,1,5,6,1,295,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12,5,750,750.0,750,15,0,0,0,0,0,0,3,1,76,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
13,4,450,450.0,450,15,1,0,0,0,1,2,5,1,161,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
